id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4H0gMFLC3T6Nvg3sKivP2j,Sin Rencores,32,194373,0,['Ekhymosis'],['4gOoiVWzfjPtXK3ohuEy0M'],1997-01-01,0.648,0.921,6,-6.702,1,0.0287,0.124,0.0,0.029,0.955,98.851,4
7wlliG6VJZ151JuZJ2ME5n,Change de docteur - Remastered,15,212387,0,['Francis Cabrel'],['5uo5NwSONVNfvSHHMQrHAv'],1977-09-13,0.627,0.834,9,-4.15,1,0.066,0.338,0.0,0.104,0.751,149.201,4
5FvQyYeTeCOttEfFd1WSMG,La Piana Dei Cavalli Bradi,19,295760,0,['Claudio Baglioni'],['5zBAb4P2NoTps0shbgZvgj'],1990-11-16,0.617,0.376,4,-19.023,0,0.0394,0.133,0.000127,0.2,0.384,95.011,4
7jUWpPDPyQ6vMmUd4zDg5t,Kapitel 10 - Ein Pferd für Tante Paula (Folge 023),34,91968,0,['Bibi und Tina'],['2x8vG4f0HYXzMEo3xNsoiI'],1995,0.67,0.232,10,-20.399,0,0.962,0.593,0.0,0.34,0.452,79.297,3
6F0hMp6eEY8vxBJCGVlZU6,What Do You Mean?,1,203755,0,['J. Beebs'],['3VISogEn8UDu9V1HugdFq5'],2015-12-11,0.761,0.469,5,-12.389,0,0.0528,0.576,0.00156,0.122,0.636,125.018,4
0NAFCt3nZWDmfmFRqVUuqC,Забавы,43,155907,0,['Mumiy Troll'],['6rY1h3kpqbTquyR3qYWo08'],1997-04-27,0.708,0.443,0,-10.359,0,0.0324,0.641,0.0071,0.103,0.865,145.922,4
0jd7dO9tw7BhW8zqKVgLY8,Show Me - 2007 Remaster,36,253893,0,['Pretenders'],['0GByy3DcfbQwDvXGCWmzv9'],1984,0.55,0.897,0,-6.927,1,0.0395,0.00062,0.0656,0.0621,0.562,139.299,4
2CgL27EfEd1yRegT9NzB7Z,Wide Awake in a Dream,44,240240,0,['Sun Rai'],['6UOV42aOSJ5YrbYzLIfLwr'],2013,0.663,0.625,6,-9.418,0,0.101,0.0705,7.28e-06,0.0775,0.789,164.275,4
0cYWbbg4wZoIq1iwnhytor,Dr. Hannibal,40,284933,1,['Don Choa'],['3nRUvKHrGi4lrRF01yTzod'],2002-11-25,0.85,0.798,4,-6.042,0,0.112,0.156,1.48e-05,0.104,0.518,95.014,4
0qHT5elQ5RNmTA7oDKgb1m,星間飛行,44,231223,0,['ランカ・リー=中島愛'],['7m6hnAZTo9LXCvJFgP1vpS'],2008-06-25,0.626,0.958,3,-3.376,1,0.0419,0.0283,4.2e-06,0.268,0.863,130.992,4
4G6sunnUbGwwcvsXZeebjh,"100,000 Years",39,202267,0,['KISS'],['07XSN3sPlIlB2L2XNcTwJw'],1974-02-18,0.423,0.876,10,-6.985,0,0.0618,0.0244,0.282,0.15,0.727,103.585,4
7c4yw6LZWfWY6MIB3TauHR,デーデ,26,148600,0,['Elephant Kashimashi'],['24ljrnVUlUZ2apxF6GZsrm'],1988,0.558,0.7,9,-10.057,1,0.068,0.00418,0.0,0.0655,0.879,123.787,4
4MiXgKcf8RGvCSD1igF0XH,האיש בקיר,22,212587,0,['Daniel Moreshet'],['2K3aovVSncBK7OYODgiybJ'],2014-12-01,0.588,0.957,9,-5.063,1,0.071,0.0485,0.0,0.264,0.589,149.978,4
3bvrkDfaPU5hELptyFqIBV,Slipping Away,12,232893,0,['Rick Astley'],['0gxyHStUsqpMadRV0Di1Qt'],1987-11-12,0.555,0.818,7,-12.707,1,0.0619,0.591,2.59e-05,0.0535,0.716,202.283,4
4NdG5CyaNhB1bPTaXLntnU,Push It,33,208600,1,['Rick Ross'],['1sBkRIssrMs1AbVkOJbc7a'],2009-01-01,0.66,0.765,7,-7.121,1,0.245,0.227,0.0,0.376,0.771,151.074,4
4vBDAxKllafwCMDWD76atv,This Magic Moment,57,151560,0,['The Drifters'],['1FqqOl9itIUpXr4jZPIVoT'],1988-11-15,0.27,0.599,0,-4.63,1,0.0327,0.455,2.92e-06,0.116,0.7,136.169,3
0FmCLEHfINGqwlyzvklNqy,Holidae In,61,314400,0,"['Chingy', 'Ludacris', 'Snoop Dogg']","['3s2wTjWxK8NOX09dmsvVOh', '3ipn9JLAPI5GUEo4y4jcoi', '7hJcb9fa4alzcOq3EaNPoG']",2003-01-01,0.81,0.791,7,-5.909,1,0.181,0.0893,0.0,0.0838,0.948,153.067,4
377WXiK9OrEsBc4pq2P5QF,Sleep,21,385667,0,['Hiroshi Yoshimura'],['1DGpHnPOpMYY780hcQHmPB'],1986-03-03,0.179,0.0216,0,-25.186,1,0.0504,0.989,0.944,0.0655,0.0353,66.483,4
5aJ6qncUfGSgxfxxmXUy76,Песня коня цыганских кровей,19,211952,0,['Alexander Rosenbaum'],['6GO0U13OFE0XntmksjZ4PY'],1988,0.52,0.501,2,-10.026,0,0.197,0.819,0.0,0.11,0.589,109.674,1
5zGUkWPODGQzPR0DooeRO2,Entre Mi Vida y la Tuya,54,176196,0,['Fonseca'],['53KTldaJ8tHSkYU3nigfwP'],2015-06-02,0.597,0.914,1,-4.525,1,0.123,0.277,0.0,0.0689,0.893,198.029,4
20clXT6vSEY37PN1SgVZ1g,Walking on Red - 2011 Remaster,7,263013,0,['Sort Sol'],['15BYnFahZPTexrVSiqxbK7'],1980,0.188,0.888,6,-4.76,1,0.104,5.42e-05,0.000232,0.0989,0.446,167.752,4
5urIM8XFrIWbMOiKvLiEmo,Kara Kutu,36,256800,0,['mor ve ötesi'],['5ixQSDvAMa5O758xG8MWXT'],2010-05-06,0.503,0.809,11,-4.863,0,0.0374,0.00177,0.000562,0.229,0.344,112.018,4
0KxaHIM0plOSo29GVPu2ay,征服,28,213973,0,['林志炫'],['6O9BAkGBRRzHUDrWqdT68r'],1999-06-27,0.442,0.54,8,-7.967,1,0.0352,0.534,0.0,0.274,0.287,119.976,4
05G51ez5Z73NRE0l2QtZfH,Short Hair,46,214589,0,['AOA'],['54gWVQFHf8IIqbjxAoOarN'],2014-06-19,0.743,0.883,11,-2.016,1,0.0374,0.307,0.0,0.304,0.881,109.979,4
1QI5LFV2yChv3rwRn60PZ2,跌落凡間的天使,34,260093,0,['ChoLam'],['7gkNIAHoTefCS6YmP0fIt3'],2011-08-16,0.499,0.404,2,-8.893,1,0.042,0.52,0.0,0.124,0.101,139.78,4
2t5dC8cYNKs1MDIkSDNthG,Il vento,23,210253,0,['Lucio Battisti'],['2caOYPej26UoQOyFnzXW3G'],1969,0.346,0.384,9,-13.18,0,0.0418,0.741,0.000924,0.27,0.361,122.53,4
6ysklgrcAcmUFItLQzWAdz,SUPERMAN,48,203933,0,['SUPER JUNIOR'],['6gzXCdfYfFe5XKhPKkYqxV'],2011-09-19,0.604,0.687,11,-4.272,0,0.161,0.103,0.0,0.0798,0.76,175.881,4
4bmaJ1jmAu2dA1jnvOjJDP,Dobrú Noc / Dikta Devla / Odoj Tejle - Lidové Písně,6,332520,0,['Hana Hegerova'],['5PvU2cKX5t9hXFZTIsnO7p'],1971,0.363,0.135,0,-13.921,0,0.0365,0.837,0.00779,0.0662,0.194,87.776,4
2MSgFefjK0T7Iwjvr3OKqV,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",68,259493,0,"['Frédéric Chopin', 'Mikhail Pletnev']","['7y97mc3bZRFXzT2szRM4L4', '2YdRnOqBXCl9g8xCLcGh8C']",2000,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,4
5pcpGPXFrBY604vDOxeEsq,"Symphony No.1 In C Minor, Op.68: 3. Un poco allegretto e grazioso",22,286000,0,"['Johannes Brahms', 'Berliner Philharmoniker', 'Herbert von Karajan']","['5wTAi7QkpP6kp8a54lmTOq', '6uRJnvQ3f8whVnmeoecv5Z', '5zCaQxjl110XTrm4LQ1CxY']",1987-01-01,0.162,0.143,8,-20.034,1,0.0358,0.937,0.834,0.141,0.131,84.179,4
3lo6WG0mdesJZGdRCVPF9p,What You Want Wid Bess?,23,119667,0,['Ella Fitzgerald'],['5V0MlUE1Bft0mbLlND7FJz'],1958-01-01,0.443,0.202,5,-14.116,0,0.036,0.819,0.0,0.384,0.598,130.599,3
1xEI90LhA1H7ljmqFXgtnW,Paintbox - 2016 Remastered Version,18,226973,0,['Pink Floyd'],['0k17h0D3J5VfsdmQ1iZtE9'],2016-11-06,0.362,0.49,4,-9.527,0,0.0299,0.0957,0.000177,0.0892,0.369,174.083,4
4yYQWpJMvDMXRFvgK5ys1y,Simsalabim,22,201507,0,['Caramell'],['3gVC19jwzg4XfpsiSvzqfN'],1999-09-06,0.582,0.991,4,-6.619,1,0.0381,0.0323,0.0398,0.304,0.966,155.023,4
5nUVwfJnVgoCJuuFsu8Zjy,Destroy 2000 Years of Culture - Live,3,231480,0,['Atari Teenage Riot'],['1EMlPfrse4I1I1hA3iwhk9'],1999-05-10,0.524,0.999,2,-4.823,1,0.15,0.128,0.00067,0.974,0.0363,114.014,4
1VkcGiPJXnBBW2hfPs2R0t,Por Eso,9,162413,0,['Jose Larralde'],['7va6FT607YxAj4HtoXVEIh'],1968-04-19,0.589,0.224,0,-13.542,1,0.046,0.977,0.291,0.116,0.41,117.735,4
7lhiArjhTzv398cbr7lyPj,De Lyse Timer,6,281227,0,['TV-2'],['6jvJrJNRIBqin5CYaT2cup'],1983-12-01,0.553,0.502,0,-14.181,1,0.0332,0.341,1.8e-05,0.302,0.436,187.73,4
0TXI0qyqORj4OiXakUwLvu,Love You 'Til The Day I Die,30,212893,0,['Crowded House'],['7ohlPA8dRBtCf92zaZCaaB'],1986-01-01,0.664,0.605,11,-13.597,0,0.0459,0.0491,6.66e-06,0.0837,0.701,103.689,4
3gVeKgmepmWiEkrYj5vDVE,"Schubert: Auf dem Wasser zu singen, Op. 72, D. 774",1,196600,0,"['Franz Schubert', 'Elisabeth Schwarzkopf', 'Edwin Fischer']","['2p0UyoPfYfI76PCStuXfOP', '0B94ekfBARqVS2gwrTnvJ6', '4D1JoQ2bhE1vA7EmnnYC0E']",1953-01-01,0.347,0.0424,8,-23.704,0,0.0517,0.988,0.141,0.104,0.172,159.766,4
0UASyvyxA1Ofx377rvSoNi,Þær brosa,6,233686,0,['PS & Co'],['3SdhCCZyvDbNcjOHzT3m9V'],1993-01-01,0.696,0.326,4,-16.034,1,0.0514,0.221,0.175,0.401,0.577,130.231,4
665TeVj1PFLiwwmwK9dsk4,並不,25,359587,0,['Deserts Chang'],['7v9Il42LvvTeSfmf1bwfNx'],2007-07-12,0.404,0.232,2,-14.959,1,0.0405,0.874,0.000316,0.111,0.323,181.688,4
5evHqT71L5P8Ncnt1JGM3C,Playin' on My Guitar,17,168920,0,['David Gates'],['5BmXbfqAgfkuTkPlVQDKOW'],1975,0.635,0.312,9,-16.596,1,0.0399,0.34,1.86e-05,0.104,0.623,116.094,4
7AyswKa0oq0KG88EtB9pXS,Ase Me Mia Nychta Mono,23,197613,0,['Panos Kiamos'],['2EsTolBYIEICM1kx7MGluy'],2006,0.546,0.638,4,-5.855,0,0.0282,0.367,0.0,0.0969,0.472,144.196,4
2IllryBU9oFx61KtdM1dqO,"Tell You (Today) - 12"" Vocal",31,422389,0,['Loose Joints'],['0eoOgNAKS0g3piTJlFY173'],1983-01-01,0.863,0.684,9,-7.832,0,0.135,0.134,0.354,0.0831,0.961,125.409,4
0rx4wIyXwxdvdH9oXS3oBA,La Vida No Es Recta,30,284067,1,['Rezonancia'],['2RA6tbYsWItfklZnXYYO0C'],1999-11-15,0.712,0.925,10,-5.685,0,0.0707,0.0648,0.0,0.0879,0.545,94.018,4
6Ki2aqHp8fsHEhbMntmvrW,Le Grand feu,14,174493,0,['Georges Chelon'],['4gV6Ub4eylFuTOYvhub2ik'],1965,0.545,0.392,7,-8.917,1,0.0314,0.498,0.000873,0.369,0.512,105.223,3
6VTxrjh9WYwqFlNt2gccuz,Fenn a kezed,28,285133,1,"['AK26', 'Awful']","['3zbcPXU4MXuzss4WKnBPJD', '07CA5DtdL4GwLHn4EaXr1T']",2014-03-01,0.857,0.819,5,-8.088,0,0.412,0.317,0.0,0.0679,0.554,89.986,4
0oVkdN98E1m6frPKjMGGYS,"Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio - Redbook Stereo",6,471200,0,"['Max Bruch', 'Jascha Heifetz', 'Sir Malcolm Sargent', 'The New Symphony Orchestra Of London']","['0521x50ZcNqqT1fKMJg5c5', '7yaBUcdjmqPP2vIv6F5bFD', '4FVncYpcoiyS5lY2ElwtK8', '2tXt8tQb1z7e9xrx5RWKie']",1955,0.0853,0.18,3,-21.924,1,0.0505,0.872,0.548,0.127,0.0667,49.869,4
2WAdrBtvn3UKHnsdhVwoQl,When a Man Loves a Woman,30,179133,0,['Karen Dalton'],['5O5V29YvM6AzAQ0rNt59fy'],1971,0.424,0.462,0,-8.536,1,0.0358,0.449,0.00673,0.126,0.302,80.648,3
2mNoMcrHJkTJODrcMum72O,Ateş ve Barut,46,202786,1,['No.1'],['4fR3W8XFXsqHB8f8IqEr1y'],2016-06-13,0.591,0.513,1,-7.937,1,0.0377,0.00765,0.0,0.0671,0.566,83.098,4
4I2GdvjRKP5KbTUn43dPsK,L.A. Woman,41,330600,0,['Billy Idol'],['7lzordPuZEXxwt9aoVZYmG'],1990-05-01,0.389,0.936,2,-5.649,1,0.0476,0.0511,0.00171,0.0745,0.58,179.17,4
2qHhXa3yweEASJrwAzNsox,Asian 2010,0,298667,0,['D Menace'],['40Mhf9eflztCXlPJ4h2nLa'],2018-05-09,0.736,0.935,1,-6.912,1,0.154,0.0474,0.511,0.362,0.318,90.006,4
6EGfo0X8JU1chqjK1i3RUf,Betrachtige Über Nes Sandwitsch,19,193000,0,['Mani Matter'],['7wkPBPwF9oOZJ8lEbQjIVt'],1996-11-06,0.631,0.483,8,-15.176,1,0.9,0.666,0.0,0.918,0.573,124.354,4
6EcksOKG1ejSt2lNs909KX,Estaba el Señor Don Gato,6,138493,0,['Grupo Infantil Tizas'],['3Vgg1VYqGoDyqJPo7aQT6w'],1965-07-11,0.781,0.918,7,-9.953,1,0.0422,0.0133,0.000353,0.0477,0.831,138.848,4
1qeO0T3LIqlUvrELz3Gngk,Too Young To Go Steady,35,259813,0,['John Coltrane Quartet'],['67PZTxaHKMZBFRUh8wIzCy'],1963,0.55,0.179,5,-12.481,1,0.039,0.965,0.368,0.0746,0.349,129.536,4
6eDQELojmRnkeGGkJ5LbA3,Mis Noches Sin Ti,29,171507,0,['Nino Bravo'],['03zz3zpyV15ZGw1cgjZ7tj'],1976-01-01,0.341,0.768,6,-7.227,1,0.0624,0.669,7.2e-06,0.31,0.727,105.304,4
6e8X0VVUO6BIZMnDvICDOR,Briga Feia - Ao Vivo,63,194580,0,['Henrique & Juliano'],['3p7PcrEHaaKLJnPUGOtRlT'],2019-12-13,0.59,0.846,11,-5.501,1,0.0616,0.108,0.0,0.93,0.565,167.991,4
3DsIu9DB0AZufrQHR4yJKL,I Know Why (And So Do You),57,287613,0,"['Red Garland', 'Paul Chambers', 'Art Taylor']","['35iymrFS4VnsKn35ebHKX9', '0M1UOBJZ9tcKJbrbnVlHZG', '3CsHGnB9qK3KYH7xmyGAGX']",1957,0.528,0.0847,0,-16.575,0,0.0405,0.984,0.893,0.131,0.0431,111.49,4
4GGu9ssC5stXQPDsXc9NSJ,Meditation,31,172413,0,['Les & Larry Elgart'],['2aw1GjnuDSI2rPxaghLPb1'],1965,0.631,0.34,0,-16.805,0,0.0333,0.469,0.913,0.102,0.661,132.621,4
4HAD3zNT5BHqX17l5Q9Unv,ماعرفش ليه,7,418613,0,['Huda Sultan'],['0WDZZk05y6yvxrZ6MNxCp6'],1962-01-01,0.344,0.0811,11,-17.021,0,0.0455,0.983,0.768,0.109,0.467,91.044,3
0G6CZIt2y8eOJqgT0Q5eIu,Balettan Molalledi,30,327131,0,['Kalabhavan Mani'],['2pB05naIt3eCAIIxrZaAEA'],2008-07-23,0.74,0.684,4,-5.784,1,0.0326,0.097,0.000459,0.0613,0.895,141.039,3
3IaMJw9SJ1VxI1pjUQUtWB,Bailando Provocas,52,142867,0,"['Luny Tunes', 'Noriega', 'Trebol Clan']","['5pZE9tgrhmIGWAsJZ7YxNK', '3P4VNQLuN1qQQnL8rMaIkL', '3YXpTiyVmYCfANOlnWv6vr']",2003-08-26,0.839,0.593,6,-9.714,0,0.0438,0.169,1.32e-06,0.0648,0.721,95.008,4
2AWihjVrcBlDEQQaPfxUHD,Bhagwan Aao Aao,0,179427,0,['Amirbai Karnataki'],['025NPyHBtWC9aQM4STXI5V'],1948-12-31,0.62,0.159,4,-12.448,0,0.056,0.993,0.582,0.0927,0.505,115.776,4
0CVLRvqGHaG38Mw86QVhuo,Tu Hora Pasó,39,184424,0,['Fernando Burbano'],['23nWkdjjAlopi1pF5KwrD6'],2016-12-02,0.785,0.587,2,-6.959,0,0.0361,0.367,0.0,0.203,0.892,107.032,4
5hAWpZAImdbjkU5dgr0KoZ,Verlangen,11,197133,0,['Ingeborg'],['2rba1PuLCc0Q4EzNW4RU68'],1990-01-01,0.646,0.495,11,-13.359,0,0.0403,0.299,1.1e-06,0.0529,0.963,145.431,4
0uHJXnBVHf4Unt0aMvL9Mv,Museossa,7,276413,0,['Sielun Veljet'],['53kRF2DbU7dNLQYklttuPA'],1986,0.52,0.642,1,-13.249,0,0.0377,0.0938,1.87e-06,0.341,0.962,115.915,4
2j7WerEH6u2Xm8b9IztNxD,Rysk Bompa,28,110107,0,['De Lyckliga Kompisarna'],['5ZFPmKZWWyfhwTLTDwqZgd'],1996-01-01,0.358,0.927,4,-5.738,0,0.151,0.0045,0.0,0.891,0.686,93.944,4
6CujOAFfwOpKqKnE6zcpbG,Mphefumlo Wami,33,322533,0,['Lundi'],['0zf91SQLRP6UPijzhoW99A'],1998-01-01,0.633,0.313,10,-13.899,1,0.0374,0.815,0.0,0.126,0.356,119.99,4
49sXkAcR5LvOrtq5Qcn5cf,Superpower (feat. Frank Ocean),58,276560,0,"['Beyoncé', 'Frank Ocean']","['6vWDO969PvNqNYHIOW5v0m', '2h93pZq0e7k5yf4dywlkpM']",2014-11-24,0.527,0.334,0,-11.54,1,0.0681,0.643,0.0,0.114,0.186,80.334,3
7aBxcRw77817BrkdPChAGY,Freedom (feat. Kendrick Lamar),65,289760,0,"['Beyoncé', 'Kendrick Lamar']","['6vWDO969PvNqNYHIOW5v0m', '2YZyLoL8N0Wb9xBt1NhZWg']",2016-04-23,0.437,0.803,2,-6.412,1,0.305,0.0376,0.0,0.683,0.406,84.378,4
41IImnrL5vB7P0YI0sSou0,八月の詩(セレナード),35,296107,0,['サザンオールスターズ'],['79nkC8XZ5ohEVU0Xlf5Ael'],2005-10-05,0.573,0.859,7,-4.156,1,0.0302,0.0409,0.0,0.14,0.918,127.968,4
2LlJLOK9DnYaOTr2yjqlYt,Never Gonna Let You Down,54,248360,0,['Colbie Caillat'],['6aZyMrc4doVtZyKNilOmwu'],2014-06-09,0.648,0.73,0,-6.135,1,0.0317,0.0894,0.0,0.191,0.398,107.975,4
29qfvE73cBmgOSIFKZUfYl,Enviame a Mi,35,406667,0,['Jesús Adrián Romero'],['29SeiO68HQHBs7pDdWOvvX'],2000-06-20,0.645,0.434,1,-9.696,1,0.0248,0.355,0.0,0.814,0.169,94.97,4
3fbvU3HoMviq8NaxeL6lA2,Bugle Boy March,16,315600,0,['Paul Barbarin & His New Orleans Jazz Band'],['3FE6ZZKTPt5j31R5uPkTYS'],1954,0.414,0.553,10,-11.002,1,0.0452,0.64,0.633,0.103,0.904,188.699,4
4PPNfsPK2Ezcb1w5dtfPEm,While The World Awaits,37,241613,0,['Suburban Tribe'],['4hj24ozWgxB4zFEnkL6xgL'],2006-01-01,0.379,0.927,6,-5.365,1,0.0688,4.88e-05,0.00154,0.335,0.448,147.922,4
